title,category,authors,publish_date,text
Trump blasts Michigan AG for 'viciously threatening' Ford for letting him tour plant without mask,Donald Trump,Brie Stimson,2020-05-22,"Get all the latest news on coronavirus and more delivered daily to your inbox. Sign up here.President Trump blasted the attorney general of Michigan late Thursday after she said she was going to have a “very serious conversation” with Ford Motor Co. for allowing the president to go without a mask during part of a tour of the company's Rawsonville Components Plant in Ypsilanti.“The Wacky Do Nothing Attorney General of Michigan, Dana Nessel, is viciously threatening Ford Motor Company for the fact that I inspected a Ventilator plant without a mask,” Trump tweeted after his tour. “Not their fault, & I did put on a mask. No wonder many auto companies left Michigan, until I came along!”Trump did wear a mask for part of the tour of the plant that has been repurposed to make medical supplies, but refused to put it on in front of reporters -- although at least one photographer snapped a photo that was posted on social media. It showed the president wearing a mask that included the presidential seal.""I had one on before,” Trump told reporters during the visit. “I wore one on in this back area. I didn't want to give the press the pleasure of seeing it. In the back area I did have a mask on. I had goggles and a mask right back there.”TRUMP BRINGS MASK TO FORD, SAYS HE DOESN'T 'WANT TO GIVE THE PRESS THE PLEASURE OF SEEING' HIM WEARING ITHe added it wasn’t necessary to wear a mask around reporters and Ford representatives in the front of the plant because “Everybody's been tested.”Nessel told CNN the state would be speaking to Ford about allowing the president to go without a mask for the public portion of the tour in what she said was a violation of Gov. Gretchen Whitmer’s executive order requiring masks in enclosed public spaces.""They knew exactly what the order was and if they permitted anyone, even the president of the United States, to defy that order, I think it has serious health consequences potentially to their workers,” Nessel told CNN.She also said she was ""ashamed"" to have him as the president and she hoped Michigan voters ""will remember this when November comes, that he didn't care enough about their safety, he didn't care about their welfare, he didn't respect them enough just to engage in the very simple task, the painless task, the easy task of wearing a mask when he was provided one.""Trump suggested in another tweet that Ford might leave Michigan if it's held accountable for his actions.“Do nothing A.G. of the Great State of Michigan, Dana Nessel, should not be taking her anger and stupidity out on Ford Motor - they might get upset with you and leave the state, like so many other companies have - until I came along and brought business back to Michigan. JOBS!” he wrote.When asked if it was true that it wasn’t required that the president wear a mask, Ford’s CEO, Jim Hackett, told reporters, “It’s up to him.”In a statement Thursday afternoon, the Ford Motor Company added: “Bill Ford encouraged President Trump to wear a mask when he arrived. He wore a mask during a private viewing of three Ford GTs from over the years. The president later removed the mask for the remainder of the visit.” Bill Ford, the great-grandson of Henry Ford, has been the company’s executive chairman.Nessel later responded to Trump on Twitter, defending the state's auto industry.""Hi! After struggling with our Gov & SOS, impressed you know my name,"" she wrote. ""Seems like you have a problem with all 3 women who run MI-as well as your ability to tell the truth. The auto industry has been thriving for years bc of our incredible auto workers & companies.""CLICK HERE FOR COMPLETE CORONAVIRUS COVERAGEShe added that it was hard to say she's done nothing ""with all the lawsuits myself and the other @DemocraticAGs have filed and won against you.""Fox News' Morgan Phillips contributed to this report."
"Trump brings mask to Ford, says he doesn't 'want to give the press the pleasure of seeing' him wear it",Donald Trump,Morgan Phillips,2020-05-22,"Get all the latest news on coronavirus and more delivered daily to your inbox. Sign up here.President Trump on Thursday brought a mask with him to tour of a Ford plant in Ypsilanti, Mich., but said he didn’t “want to give the press the pleasure of seeing” him wear it while he was on camera.“I didn’t want to give the press the pleasure of seeing it,” he said. “In the back area I did have a mask on. I had goggles and a mask right back there.”While speaking without a face covering -- next to others wearing masks -- the president added that masks were not necessary in the front of the plant, where he was standing. “They’re not necessary here. Everybody’s been tested, in fact I was tested this morning so it’s not necessary,” the president said. “I was given a choice and I had one on in an area where they preferred it.”He continued, “I honestly - I think I look better in the mask, but I am making a speech, so I won’t have it now.”When asked if it was true that it wasn’t required that the president wear a mask, Ford’s CEO, Jim Hackett, told reporters, “It’s up to him.”In a statement Thursday afternoon, the Ford Motor Company added: “Bill Ford encouraged President Trump to wear a mask when he arrived. He wore a mask during a private viewing of three Ford GTs from over the years. The president later removed the mask for the remainder of the visit.” Bill Ford, the great-grandson of Henry Ford, has been the company’s executive chairman.Earlier this week, the company announced that Trump and anyone who accompanied him on his visit to the plant, which has been manufacturing ventilators, were recommended to wear a mask.MICHIGAN AG TELLS TRUMP TO WEAR MASK WHILE VISITING FORD PLANT: 'IT'S THE LAW'“Our policy is that everyone wears PPE [personal protective equipment] to prevent the spread of COVID-19,” the company told Fox News. “We shared all of Ford’s safety protocols, including our manufacturing playbook, employee pamphlet and self-assessment survey with the White House ahead of time and in preparation for this trip.”“The White House has its own safety and testing policies in place and will make its own determination,” the company added.Earlier Thursday, Michigan Attorney General Dana Nessel, a Democrat, urged the president to wear a face mask on his visit.“While my department will not act to prevent you from touring Ford’s plant, I ask that while you are on tour you respect the great efforts of the men and women at Ford – and across this state – by wearing a facial covering,” Nessel wrote. “It is not just the policy of Ford, by virtue of the governor’s executive orders. It is currently the law of this state.”TRUMP, AFTER CORONAVIRUS TEST, SAYS 'I TESTED POSITIVELY TOWARD NEGATIVE'Earlier this month, Vice President Mike Pence came under fire for not wearing a mask while touring the Mayo Clinic in Minnesota.Pence addressed the controversy and told reporters that while he agreed with the guidelines from the Centers for Disease Control and Prevention [CDC] about wearing masks to contain the spread of coronavirus, he and everyone around him was tested for the virus regularly.CLICK HERE TO GET THE FOX NEWS APP“When the CDC issued those guidelines, it was their recognition that people that may have it may prevent transmitting by wearing a mask,” the vice president said. “Since I don’t have it, I thought it would be a good opportunity to be here, speak to these guys and look them in the eye.”Pence has been seen wearing a mask since then."
Michigan AG tells Trump to wear mask while visiting Ford plant: It's 'the law',Donald Trump,Marisa Schultz,2020-05-21,"Get all the latest news on coronavirus and more delivered daily to your inbox. Sign up here.Michigan's attorney general urged President Trump to wear a face mask when he visits the state Thursday to tour a Ford Motor Co. plant and to adhere to Gov. Gretchen Whitmer's coronavirus executive order, telling the commander in chief that he has a ""legal responsibility"" to follow the law.Dana Nessel, a Democrat, penned an open letter to Trump Wednesday asking him to follow the face-covering policy of Ford Motor Co. and of the state of Michigan. Trump has not been pictured wearing a face mask in public and said he's taking hydroxychloroquine, an unproven COVID-19 drug, as a preventative measure to ward off the contagious virus.“While my Department will not act to prevent you from touring Ford’s plant, I ask that while you are on tour you respect the great efforts of the men and women at Ford – and across this state – by wearing a facial covering,"" Nessel wrote. ""It is not just the policy of Ford, by virtue of the Governor’s Executive Orders. It is currently the law of this State.""FROM BUILDING TRUCKS TO VENTILATORS, FORD PLANT’S CRISIS RESPONSE ON DISPLAY DURING TRUMP'S MICHIGAN VISITMeanwhile, Whitmer hit back at Trump for threatening to withhold federal funds to Michigan amid the pandemic and mass flooding in central Michigan after two dams broke this week.""To have this kind of distraction is just ridiculous to be honest... threatening to take money away from a state that is hurting as bad as we are right now is just scary, and I think something that is unacceptable,"" Whitmer told CBS News' This Morning.Trump made the threat on Twitter stating that Michigan is in trouble for sending out absentee ballots to voters, which he deems ripe for voter fraud. Like other states, Michigan sent out absentee applications, not ballots. Trump corrected his tweet — but the threat to withhold federal dollars to Michigan stood. Michigan's secretary of state said Trump is still wrong.But the issue of whether Trump will wear a mask has been front and center before Trump visits the critical swing state.Michigan has been especially hard hit by the coronavirus, with more than 50,000 confirmed cases and 5,000 deaths.Everyone, including Trump, has an obligation to follow the law, the attorney general said.""We must all do our part to stop the spread of COVID-19,"" Nessel wrote. ""Anyone who has potentially been recently exposed, including the President of the United States, has not only a legal responsibility, but also a social and moral responsibility, to take reasonable precautions to prevent further spread of the virus.”FORD SAYS TRUMP SHOULD WEAR MASK WHEN VISITING PLANT ON THURSDAYRep. Debbie Dingell, D-Mich, also urged Trump to wear a mask as he visits her district.""The spread is real,"" Dingell said Thursday. ""No one is above these steps, and it is my respectful wish that Trump and his entire team take these protocols seriously. Their actions do have consequences, and wearing the masks might save a life.""On Thursday afternoon, Trump is expected to tour a Ford Motor Co. plant in Ypsilanti Township that had to stop making automobiles during the pandemic but reconfigured in April to make ventilators. Ford said it will deliver 50,000 ventilators by mid-July to help with the coronavirus response.TRUMP HITS THE SWING STATES, EVEN WITH CAMPAIGN BATTLE IN CORONAVIRUS LIMBOThe plant has strict protocols in place for its employees. Workers must take a questionnaire daily and certify that they don't have symptoms before entering the workplace. Upon arrival, employees have a no-touch temperature scan. All employees wear a face mask at work. Safety glasses with side shields or face shields are also required for positions that don't allow for social distancing.While other White House staff have been wearing masks in the wake of West Wing staffers getting infected, Trump has resisted using one in public.Asked Tuesday if he would wear a mask at the Ford plant, Trump said: “I don’t know.”He added: ""It depends on [the] situation. So we'll see. Where it's appropriate, I would do it. Certainly."""
"Trump, after coronavirus test, says 'I tested positively toward negative'",Donald Trump,Morgan Phillips,2020-05-22,"President Trump on Thursday disclosed the results of his daily coronavirus test by saying he “tested positively toward negative.”""I tested very positively in another sense. I tested positively toward negative,” Trump told reporters. “I tested perfectly this morning, meaning I tested negative.”Trump announced on May 7 that he, Vice President Pence and other senior officials would begin receiving daily coronavirus tests after a member of the president's valet tested positive for the virus, which has infected 1.5 million Americans and killed more than 93,000.Around the same time, Pence’s press secretary Katie Miller contracted the disease.TRUMP SAYS G7 LIKELY TO BE HELD AT WHITE HOUSE DESPITE CORONAVIRUS CONCERNSThis week, the president announced he was taking hydroxychloroquine at the direction of his physician to avoid contracting COVID-19.Trump said he has been taking hydroxychloroquine and a zinc supplement daily for almost two weeks -- even though the Food and Drug Administration (FDA) has said hydroxychloroquine should only be used in formal studies.CLICK HERE FOR THE FOX NEWS APPTrump has spent weeks pushing the drug as a potential cure for COVID-19, despite there being no consensus on its effectiveness or safety. Dr. Sean Conley, the president's physician, announced the decision in a statement Monday night, saying: ""After numerous discussions he and I had about regarding the evidence for and against the use of hydroxychloroquine, we concluded the potential benefit from treatment outweighed the relative risks."""
"From building trucks to ventilators, Ford plant’s crisis response on display during Trump's Michigan visit",Proud American,Marisa Schultz,2020-05-21,"Get all the latest news on coronavirus and more delivered daily to your inbox. Sign up here.When President Trump arrives in Michigan Thursday, he'll get a chance to see one of the success stories of America's innovative all-hands-on-deck response to the coronavirus pandemic.Trump will tour the Ford Motor Co. Rawsonville plant that reconfigured its operations during the pandemic and shifted from making automobiles to ventilators to help save lives.And much like how Detroit was the Arsenal of Democracy during World War II, with Ford's Willow Run plant producing one B-24 Liberator airplane per hour, the workers on today's pandemic response assembly line feel a similar sense of pride for helping fellow Americans during hard times.""I could not be more proud of my fellow rank and file workers,"" said Terry Bowman, a Ford Motor Co. Rawsonville plant employee who is working on the ventilator project.""They could have stayed home all safe and sound. But yet, all of these workers ... decided on their own, that they wanted to come in and work on a ventilator project in the middle of this pandemic.""Bowman, 54, normally makes transmission oil pumps for trucks at the Ypsilanti Township plant, then the pandemic came and stay-home orders hit. Ford closed the plant and Bowman went on unemployment in March.FORD SAYS TRUMP SHOULD WEAR MASK WHEN VISITING PLANT ON THURSDAYWhen Congress passed the more than $2 trillion CARES Act in March, workers on unemployment got an additional $600 per week payment from the federal government on top of the normal state benefits. In Michigan, the maximum rate is $362 per week. So with the added federal boost, laid-off autoworkers could get $962 a week. That rate would amount to more than $50,000 a year.So when Ford put out the call for workers to voluntarily come back to work to make ventilators and personal protective equipment, some of those who stepped up were making less money by putting their health on the line to work than by staying home and collecting unemployment checks, said Bowman.""A lot of the workers are actually working only 40 hours and making less than what they would have if they would have just stayed home and received the additional $600 unemployment,"" said Bowman, who ended up making more because of overtime.""All these volunteer workers did not have to be there but decided to come in to be a part of something bigger than themselves,"" he added.In all, more than 1,000 Ford employees signed up to work at four southeast Michigan auto plants that have been converted to make ventilators and personal protective equipment. Other plants are making masks, respirators and face shields.General Electric was called up to make ventilators by Trump under the Defense Production Act. Ford Motor Company became GE's supplier and began ventilator production in late April.Ford converted an unused portion of the Rawsonville plant to build out the ventilator manufacturing unit. Ford intends to manufacture 50,000 of the GE/Airon Model A-E ventilators by mid-July.The ventilator model is unique because it runs on compressed air, not electricity, so it doesn't need to be plugged it. It's ideal for a quick setup in an emergency, on the battlefield and during the transport of patients.Ford said it dubbed the ventilator and PPE production “Project Apollo” after the Apollo 13 launch in 1970 when a lunar landing was aborted after an oxygen tank failed two days into the mission, forcing the astronauts to improvise a fix.TRUMP HITS THE SWING STATES, EVEN WITH CAMPAIGN BATTLE IN CORONAVIRUS LIMBOBowman, who is co-chair of the Michigan Republican Party and active on the Trump campaign, said he wrote the White House to invite Trump to see firsthand the effort of Ford workers helping in the coronavirus crisis.Despite working 37 days straight, Bowman said the mood on the ventilator assembly is very positive as workers have the patriotic spirit of helping serve the country during the global pandemic. Michigan has been especially hard hit by the pandemic. Nationwide, more than 1.5 million people have been sickened by the contagious virus and more than 93,000 Americans have died.""The ventilator project was brought about by the Defense Production Act, which hasn't really been used in 78 years, so I thought it was pretty historic,"" Bowman said on his decision to sign up for the project. ""I wanted to be a part of something historic.""My family has all been healthy, and I thought there's a moral issue to this: Shouldn't you go back and help people who might need ventilators? I just thought it was the right thing to do.""THE LATEST FROM FOX NEWS ON THE 2020 PRESIDENTIAL CAMPAIGNFord is taking additional precautions for workers on the special coronavirus projects and as the auto manufacturing begins to reopen. Before Bowman heads to work, he logs online at home and answers a questionnaire to certify that he doesn't have symptoms. When he arrives, he has a no-touch temperature scan. All employees wear a face mask at work. Safety glasses with side shields or face shields are also required for jobs that don't allow for social distancing.""I feel safer at work than I do anywhere,"" Bowman said.Trump's visit to Michigan marks his latest travel to a swing state in an effort to demonstrate his desire to get American back to work. Trump is expected to tout America as ""the king of ventilators"" and to praise the collaboration between Ford and General Electric.The two U.S. companies ""have stepped up to make ventilators and PPE in a time of need -- exemplifying the power of the American spirit and ingenuity at work,"" the White House said in a statement. ""Ford has a rich history stepping up in a time of crisis. During WWII, their Willow Run assembly plant was producing one B-24 per hour.""CLICK HERE FOR THE FOX NEWS APPThe White House also applauded Ford for its American pride. ""Ford assembles more vehicles in the U.S. than any other manufacturer and more than 75 percent of what the company sells in the U.S. is assembled in the U.S., more than any other automaker."""
Andrew McCarthy: Flynn judge must explain his astounding and offensive refusal to dismiss charges,OPINION,Andrew McCarthy,2020-05-22,"Is U.S. District Judge Emmet Sullivan’s collusion cameo nearing its end?On Thursday the U.S. Court of Appeals for the D.C. Circuit, on its own motion, ordered Judge Sullivan to respond within 10 days to the petition for a writ of mandamus filed by former National Security Adviser Michael Flynn.Earlier this week, Flynn’s counsel, Sidney Powell, filed the petition for that extraordinary writ, asking the appellate court to instruct Sullivan to grant the Justice Department’s motion to dismiss the case against Flynn.FEDERAL APPEALS COURT ORDERS JUDGE IN FLYNN CASE TO RESPOND TO MOTION TO DISMISS CHARGESCLICK HERE TO SIGN UP FOR OUR OPINION NEWSLETTERThat was after Judge Sullivan not only declined to grant the prosecution’s motion, but (a) invited non-parties to intervene in the case by filing amicus briefs (transparently, to make arguments that he somehow has authority to deny DOJ’s motion); and (b) appointed one amicus, former federal judge John Gleeson, as a quasi-prosecutor to make arguments that prosecutors are declining to make in favor of entering a judgment of conviction and sentencing Flynn.CLICK HERE TO GET THE FOX NEWS APPAs I noted Wednesday, Sullivan’s encouragement of amicus briefs, which are not authorized in criminal cases, flies in the face of Sullivan’s own very firm orders previously declining to permit amicus briefs in Flynn’s case – some two dozen times by Powell’s count.The appointment of Gleeson is equally astonishing and offensive to the principle of courts as impartial arbiters.CLICK HERE TO READ THE REST OF THIS COLUMN IN THE NATIONAL REVIEWCLICK HERE TO READ MORE BY ANDREW MCCARTHY"
Federal appeals court orders judge in Flynn case to respond to motion to dismiss charges,Michael Flynn,Adam Shaw,2020-05-22,"A federal appeals court on Thursday directed the judge hearing the case against former national security adviser Michael Flynn to respond to a petition by Flynn for the charges against him to be thrown out.Flynn’s attorney earlier this week had filed an emergency writ of mandamus to the D.C. Circuit Court of Appeals seeking that the prosecution against Flynn be dismissed as the Justice Department has requested, and for Judge Emmet Sullivan to be taken off the case.FlYNN ATTORNEY FILES EMERGENCY APPEAL TO SHUT DOWN JUDGE SULLIVAN'S ORDERS, BOOT HIM FROM CASEThe order issued Thursday directs Sullivan to file a response by June 1, and invited the government to respond ""in its discretion within the same 10-day period.""Writs of mandamus are extraordinary remedies, which are appropriate when there has been a ""usurpation of judicial power"" that is ""clear and indisputable.”Flynn lawyer Sidney Powell has argued that the judge did exactly that when he refused the DOJ’s request and instead appointed a retired judge to argue against the position held by the DOJ and to consider if Flynn should be held in contempt for perjury.COTTON SUPPORTS SENATE SUBPOENA OF EX-OBAMA OFFICIALS: 'GROSS ABUSES OF POWER'Flynn pleaded guilty to lying to the FBI about conversations with Russian ambassador Sergey Kislyak during the presidential transition. The case formed one of the key parts of Special Counsel Robert Mueller’s Russia investigation. The case has again sparked controversy in recent weeks after it emerged that top Obama officials, including then-Vice President Joe Biden, were among those who requested the unmasking of Flynn's name.The DOJ dropped the case after internal memos were released raising serious questions about the nature of the investigation.FLYNN NOT MASKED IN REPORT ON KEY CALLS WITH RUSSIAN AMBASSADOR: SOURCEJustice Department officials said they concluded that Flynn's interview by the FBI was ""untethered to, and unjustified by, the FBI's counterintelligence investigation into Mr. Flynn"" and that the interview was ""conducted without any legitimate investigative basis.""The DOJ requested Sullivan dismiss the case, but he announced that he would permit outside parties to weigh in and appointed Judge John Gleeson to argue against the DOJ’s position.CLICK HERE TO GET THE FOX NEWS APPIn their emergency petition, Flynn's attorneys said Sullivan “has no authority to adopt the role of prosecutor or change the issues in the case.""“This is an umpire who has decided to steal public attention from the players and focus it on himself,"" the lawyers wrote. “He wants to pitch, bat, run bases and play shortstop. In truth, he is way out in left field.”Fox News’ Bill Mears, Gregg Re, Brooke Singman and The Associated Press contributed to this report."
"Hans von Spakovsky: Michael Flynn – appeals court should grant these two requests on case, judge",OPINION,Hans A. von Spakovsky,2020-05-21,"Get all the latest news on coronavirus and more delivered daily to your inbox. Sign up here.Attorney Sidney Powell has fired a broadside at Judge Emmet Sullivan.On Tuesday, she filed a writ of mandamus asking the U.S. Court of Appeals for the District of Columbia to order Sullivan to grant the Justice Department’s motion to dismiss the case against her client, Gen. Michael Flynn.The Court of Appeals should issue that order and override Sullivan’s unprecedented and, frankly, bizarre behavior in opening up the criminal prosecution of Flynn to input from outside parties and appointing John Gleeson, a former federal prosecutor and retired federal judge (who recently penned an op-ed attacking the Justice Department), to argue against the department’s motion.ANDREW McCARTHY: THE SUSAN RICE MICHAEL FLYNN CYA EMAILGleeson has even told Sullivan that he may need to engage in “additional factual development.” In other words, a nonparty, private lawyer is making the astounding proposal that he be given the powers of a government prosecutor.The Justice Department moved to dismiss the charges against Flynn after an internal investigation revealed troubling information about the prosecution. The department concluded that it could not prove its case to a jury beyond a reasonable doubt.The department has now determined that the FBI had no evidence justifying an interview of Flynn in the first place. That interview resulted in the claim that Flynn “lied” to the FBI. A valid prosecution would require that the alleged lie be “material” to an investigation. Since there was no legitimate basis for an investigation, the “materiality” requirement could not be met.Rather than try to respond to the procedural nightmare Sullivan has created, Powell is now trying to go over his head.So what is a writ of mandamus? It is a request that a higher court order a lower court to perform its duty properly. The power of mandamus is given to federal appellate courts by The All Writs Act (28 U.S.C. § 1651). As a Justice Department manual on court procedures notes: “Mandamus is an extraordinary remedy, which should only be used in exceptional circumstances of peculiar emergency or public importance.”In Cheney v. U.S. District Court for the District of Columbia (2004), the Supreme Court established three conditions that Flynn – or any other petitioner – must meet before a writ can be granted:he must demonstrate that he has “no other adequate means to obtain the relief” he requires;his right to the writ must be “clear and indisputable;”the court “in the exercise of its discretion must be satisfied that the writ is appropriate under the circumstances.”Powell makes a strong case that this matter meets all of those requirements.Powell also argues that Judge Sullivan’s behavior in the case “reveal[s] a deep-seated antagonism” toward Flynn.Powell argues that by refusing to grant the government’s motion to dismiss, Sullivan has “exceeded” his authority, “egregiously abused” his discretion, and is defying precedents of both the D.C. Circuit and the Supreme Court. That includes a 2016 decision, U.S. v. Fokker Servs., in which the Court of Appeals said that the power of a district court judge like Sullivan is “narrow” and circumscribed when the government requests the dismissal of a prosecution.That power is limited to ensuring that government prosecutors are not engaging in harassment by repeated prosecutions – dismissing a case only to refile it again later against the same defendant. Here, it appears that it is the judge who is engaging in possible harassment, not the prosecution. The Court of Appeals specifically said in Fokker that a judge can’t deny a motion to dismiss a prosecution just because the judge “has a disagreement with the prosecution’s” decision.Moreover, Powell points out that, by opening up the case to third parties to file amicus briefs and appointing a retired judge to argue against the government, Sullivan is acting in direct defiance of another Supreme Court decision issued less than two weeks ago.In U.S. v. Sineneng-Smith, a unanimous court chastised (and vacated a ruling by) the Ninth Circuit for engaging in similar behavior, opening up a criminal case to third parties to file amicus briefs and instructing them to address an issue that had not been raised by either the government or the defendant in the case.Powell also argues that Sullivan’s behavior in the case “reveal[s] a deep-seated antagonism” toward Flynn. At Flynn’s initial sentencing hearing, she notes, Sullivan “publicly berated” Flynn, although the government had reassured the judge that Flynn had given them “substantial cooperation.” The judge, she writes, “suggested [Flynn] may have committed ‘treason,’ asserted that he had ‘sold [his] country out,’ and expressed ‘disdain’ and ‘disgust’ for General Flynn’s conduct – flat wrong on crucial facts of the case.”CLICK HERE TO SIGN UP FOR OUR OPINION NEWSLETTERPowell argues that these criticisms “even uttered in private conversation,” would be grounds for Sullivan to recuse himself from the case. Saying “them to the world” makes “fair judgment impossible.”This is the United States, not France or one of the handful of other countries where the roles of prosecutors and judges are combined. As Powell correctly argues, our Constitution places the law enforcement and prosecutorial functions in the executive branch, not the judicial branch. Sullivan has “disregarded the constitutional imperative of a ‘case and controversy’ and the ‘separation of powers’ that invest the power to prosecute solely in the executive branch.” He has “no authority to adopt the role of prosecutor or change the issues in the case by inviting or appointing amici to perform the investigation or prosecution that the court deems appropriate.”Powell summarizes Sullivan’s errant behavior by using Chief Justice John Roberts’ well-known baseball analogy: ""This is an umpire who has decided to steal public attention from the players and focus it on himself. He wants to pitch, bat, run bases and play shortstop. In truth, he is way out in left field.”CLICK HERE TO GET THE FOX NEWS APPPowell not only asks the Court of Appeals to order Sullivan to dismiss the prosecution, but she also asks the court to assign another judge to the case for any final proceedings that may occur: “one who has not implied that [Flynn] is a traitor.”The interests of fundamental fairness and the objective, nonpartisan administration of justice favor the Court of Appeals granting both of those requests.CLICK HERE TO READ MORE BY HANS VON SPAKOVSKY"
"California tech exec's 4 killers included at least 2 of his employees, authorities say",Homicide,Dom Calicchio,2020-05-22,"Four men face charges of murder, kidnapping and robbery in connection with the abduction and fatal shooting of a 50-year-old tech executive last year, authorities in California and Michigan said Thursday.Two of the suspects were employees of the victim’s cannabis business, the Santa Cruz County Sheriff’s Office said, according to FOX 2 of the San Francisco Bay Area.The crime was “heinous” and “senseless” – and was a planned effort to obtain money, Lt. Brian Cleveland told the station.NEW YORK MAN, 32, CHARGED IN STABBING DEATH OF FATHER DURING ZOOM CALL, POLICE SAY“They were after monetary gain and we believe that’s why the crime occurred,” Cleveland said.The victim, identified as Tushar Atre, was founder and CEO of AtreNet, a web marketing and design firm based in Santa Cruz, according to the report.The website of Atre’s company listed clients including Hewlett-Packard, GitLab, Perforce, MacuSight and Bay Alarm Medical. His Instagram page showed images of camping, hiking and surfing, Fox News reported in November.In the months leading up to his death, he'd started a cannabis manufacturing business called Interstitial Systems.POLICE RELEASE VIDEO OF SUSPECTS IN MURDER OF SANTA CRUZ TECH EXEC, ANNOUNCING $150G REWARDAround 2:48 a.m. on Oct. 1, the four men, armed with a rifle, entered Atre’s home while he was sleeping, then forced him into his BMW SUV. The vehicle and Atre’s body were found later that morning on a property in the Santa Cruz Mountains, authorities said.In November, the sheriff’s office released black-and-white security video showing three people walking toward Atre’s home, with one of them carrying a rifle and duffel bag.The suspects were arrested without incident Tuesday following a seven-month investigation that involved interviews with dozens of Atre’s friends, associates and employees.Arrested in Southern California were Joshua Camps, 23, of Lancaster; Kurtis Charters, 22, of Lancaster; and Stephen Lindsay, 22, of Burbank. Arrested in Michigan was Kaleb Charters of St. Clair Shores.CLICK HERE TO GET THE FOX NEWS APPKurtis and Kaleb Charters are brothers, authorities said.The three men arrested in California were booked into the Santa Cruz County jail while Kaleb Charters remained in custody in Michigan, awaiting extradition to California.Fox News’ Barnini Chakraborty contributed to this story."
"California man accused of stealing camera equipment tried to sell items back to store owner, police say",California,David Aaro,2020-05-22,"Get all the latest news on coronavirus and more delivered daily to your inbox. Sign up here.A California man recently released from jail was arrested again Wednesday after allegedly stealing equipment from a local business before trying to sell the items back to the store's owner later that day, authorities said.Police said they received a call about a burglary at a Riverside store around 10 a.m. The owner told them several hundred dollars worth of camera equipment was stolen.Earlier that day, the owner -- unaware of the break-in -- had been walking near the store when the suspect, later identified as Johnny Robles, 25, ""approached him offering to sell camera equipment,"" police said in a news release.SOUTH CAROLINA BOY, 6 REELS IN SUNKEN SAFE, HELPS BREAK ROBBERY CASE OPEN""The owner recognized the equipment as belonging to him and went back to his business where he verified a break-in occurred,"" according to the Riverside Police Department. ""When he came back, he attempted to detain the suspect after calling the police.""When officers arrived at the scene, they said Robles ""immediately"" fled before he was eventually cornered into a fence and detained. He was safely taken into custody and the stolen property was returned to the victim, police said.""A records check on the suspect showed he is currently on probation for violence against the police, along with various other violations related to theft, drugs, and resisting arrest,"" the department added.VIRGINIA SHOPLIFTING SUSPECTS WORE WATERMELON DISGUISE: POLICERobles had been released from jail “the other day” due to California’s zero-bail order during the coronavirus crisis, the release said, according to Los Angeles's KTLA. It's not clear what he was arrested for before his earlier release from jail.CLICK HERE FOR MORE CORONAVIRUS COVERAGEFollowing the robbery on Wednesday, Robles was booked into jail for commercial burglary and probation violations. He's being held on $10,000 bail for the violation of probation charge, the department added."
